Country or Area Code, Country or Area Name, Educational levels,80,85,90,94
492,Monaco,lv1,1017,,1773,1838
492,Monaco,lv2,2065,,2785,2861
496,Mongolia,lv1,145200,153100,166349,158990
496,Mongolia,lv2,246069,285862,301131,229769
496,Mongolia,lv3,34543,40099,31434,32535
500,Montserrat,lv1,1846,1351,1593,
500,Montserrat,lv2,887,1069,43,
504,Morocco,lv1,2172289,2279887,2483691,3006631
504,Morocco,lv2,797110,1248702,1194377,1375703
504,Morocco,lv3,112405,181087,255667,294502
508,Mozambique,lv1,1387192,1248074,1260218,1301833
508,Mozambique,lv2,102745,151888,160177,169520
508,Mozambique,lv3,1000,1442,,6129
104,Myanmar,lv1,4148342,4710616,5384539,5530502
104,Myanmar,lv2,1066300,1273073,1281165,1752510
104,Myanmar,lv3,163197,179366,,245317
516,Namibia,lv1,,,314105,367669
516,Namibia,lv2,,,62399,101974
516,Namibia,lv3,,,,9714
520,Nauru,lv1,,1451,,
520,Nauru,lv2,,482,,
524,Nepal,lv1,1067912,1812098,2788644,3191614
524,Nepal,lv2,,,708663,944509
524,Nepal,lv3,34094,54452,93753,98731
528,Netherlands,lv1,1333342,1109590,1082022,1189112
528,Netherlands,lv2,1391485,1620011,1401739,1508772
528,Netherlands,lv3,360033,404866,478869,502928
530,Netherlands Antilles,lv1,32856,,,
530,Netherlands Antilles,lv2,21959,,,
540,New Caledonia,lv1,,22517,22958,22308
540,New Caledonia,lv2,11945,18351,20673,
540,New Caledonia,lv3,438,761,,
554,New Zealand,lv1,381262,329337,318568,331666
554,New Zealand,lv2,352427,354080,340915,404563
554,New Zealand,lv3,76643,95793,111504,169421
558,Nicaragua,lv1,472167,561551,632882,765972
558,Nicaragua,lv2,139743,128499,184101,249091
558,Nicaragua,lv3,35268,29001,30733,
562,Niger,lv1,228855,275902,368732,426929
562,Niger,lv2,38861,52063,76758,87041
562,Niger,lv3,1435,,,
566,Nigeria,lv1,12117483,13025287,13607249,16190947
566,Nigeria,lv2,1864713,,2908466,4451329
566,Nigeria,lv3,150072,266679,,
570,Niue,lv1,666,503,,
570,Niue,lv2,397,321,,
578,Norway,lv1,390186,335373,309432,314062
578,Norway,lv2,360776,387990,370779,370925
578,Norway,lv3,79117,94658,142521,172967
275,Occupied Palestinian Territory,lv1,,,,572529
275,Occupied Palestinian Territory,lv2,,,,45339
512,Oman,lv1,91895,177541,262989,301999
512,Oman,lv2,16776,47305,101567,179514
512,Oman,lv3,18,990,6208,9761
586,Pakistan,lv1,5473578,7094059,11451000,14264099
586,Pakistan,lv2,2165832,2923188,4345464,
586,Pakistan,lv3,,267742,211495,
585,Palau,lv1,30159,,,
585,Palau,lv2,6885,,,
591,Panama,lv1,337522,340135,351021,358367
591,Panama,lv2,171273,184536,195903,208775
591,Panama,lv3,40369,55303,53235,69437
598,Papua New Guinea,lv1,299823,,415195,505153
598,Papua New Guinea,lv2,40394,,65643,83252
598,Papua New Guinea,lv3,5040,5068,,
600,Paraguay,lv1,518968,570775,687331,835089
600,Paraguay,lv2,118828,150736,163734,240906
600,Paraguay,lv3,26915,32090,32884,
604,Peru,lv1,3161375,3711592,3855282,4031359
604,Peru,lv2,1203116,1427261,1697943,1833783
604,Peru,lv3,306353,452462,678236,650621
608,Philippines,lv1,8033642,8925959,10427077,10903529
608,Philippines,lv2,2928525,3214159,4033597,4762877
608,Philippines,lv3,1276016,1402000,1709486,1832553
616,Poland,lv1,4167313,4801307,5189118,5204801
616,Poland,lv2,1673869,1567641,1887667,2442967
616,Poland,lv3,589134,454190,544893,876057
620,Portugal,lv1,1240307,1235312,1019794,896681
620,Portugal,lv2,398320,580248,670035,945077
620,Portugal,lv3,92152,103585,185762,300573
630,Puerto Rico,lv3,131184,,,
634,Qatar,lv1,30078,40636,48650,52130
634,Qatar,lv2,15901,22574,30031,37635
634,Qatar,lv3,2269,5344,6485,7794
498,Republic of Moldova,lv1,230624,248005,301653,322612
498,Republic of Moldova,lv2,415228,427727,459701,441573
498,Republic of Moldova,lv3,110200,113800,104800,100833
638,Reunion,lv1,79143,73985,71966,73250
638,Reunion,lv2,,69863,,90033
642,Romania,lv1,3308462,3030666,1253480,1335973
642,Romania,lv2,,1537548,2837948,2252053
642,Romania,lv3,192769,159798,192810,369662
643,Russian Federation,lv1,6009000,6579000,7596000,7849000
643,Russian Federation,lv2,12991000,13341000,13956000,
643,Russian Federation,lv3,5700000,5400000,5100000,4458363
646,Rwanda,lv1,704924,836877,1100437,
646,Rwanda,lv2,20672,46998,70400,
646,Rwanda,lv3,1243,1987,,
654,Saint Helena,lv1,717,582,,
654,Saint Helena,lv2,638,513,,
654,Saint Helena,lv3,36,,,
659,Saint Kitts and Nevis,lv1,7149,7810,,
659,Saint Kitts and Nevis,lv2,4214,4197,,
659,Saint Kitts and Nevis,lv3,,212,,
662,Saint Lucia,lv1,29605,32817,33006,
662,Saint Lucia,lv2,4485,6833,8230,
662,Saint Lucia,lv3,301,,,
666,Saint Pierre and Miquelon,lv1,747,558,556,492
666,Saint Pierre and Miquelon,lv2,748,821,,
670,Saint Vincent and the Grenadines,lv1,24158,24561,22030,
670,Saint Vincent and the Grenadines,lv2,5329,6782,10719,
670,Saint Vincent and the Grenadines,lv3,,736,,
882,Samoa,lv1,33012,,35763,35750
882,Samoa,lv2,19785,,10450,12757
674,San Marino,lv1,1509,1411,1212,
674,San Marino,lv2,1219,1248,1182,
678,Sao Tome and Principe,lv1,16376,,,
678,Sao Tome and Principe,lv2,3815,,,
682,Saudi Arabia,lv1,926531,1344076,1876916,2168637
682,Saudi Arabia,lv2,348996,603127,892585,1268546
682,Saudi Arabia,lv3,62074,113529,153967,233710
686,Senegal,lv1,419748,583890,708448,805437
686,Senegal,lv2,95604,130338,179818,529
686,Senegal,lv3,13626,13354,18689,24081
891,Serbia and Montenegro,lv1,,,466692,448533
891,Serbia and Montenegro,lv2,,,788170,809662
891,Serbia and Montenegro,lv3,,,,143951
690,Seychelles,lv1,14468,14368,14362,9911
690,Seychelles,lv2,924,3975,4396,9280
690,Seychelles,lv3,144,,,
694,Sierra Leone,lv1,315145,421689,367426,
694,Sierra Leone,lv2,68199,94717,102474,
694,Sierra Leone,lv3,2166,5690,4742,
702,Singapore,lv1,291722,278060,257932,251097
702,Singapore,lv2,187532,211489,220561,210473
702,Singapore,lv3,23256,39913,55672,75985
703,Slovakia,lv1,,,,338291
703,Slovakia,lv2,,,,663647
703,Slovakia,lv3,,,,82223
705,Slovenia,lv1,109500,116016,112134,102184
705,Slovenia,lv2,,193555,208905,214042
705,Slovenia,lv3,27707,29601,33565,43249
90,Solomon Islands,lv1,28870,38716,47598,60493
90,Solomon Islands,lv2,4030,5365,5636,7811
706,Somalia,lv1,271704,196496,,
706,Somalia,lv2,43841,45686,,
710,South Africa,lv1,4352916,,6951777,7971770
710,South Africa,lv2,,,2742105,3571395
710,South Africa,lv3,,,439007,617897
724,Spain,lv1,3609623,3483948,2820497,2364910
724,Spain,lv2,3976747,4555541,4755322,4744829
724,Spain,lv3,697789,935126,1222089,1526985
144,Sri Lanka,lv1,2081391,2242645,2112023,1960495
144,Sri Lanka,lv2,1267323,1462794,2081842,2315541
144,Sri Lanka,lv3,,59377,38424,80704
736,Sudan,lv1,1464227,1738341,2042743,3023955
736,Sudan,lv2,384194,556587,731624,254442
736,Sudan,lv3,28788,37367,59824,
740,Suriname,lv1,74538,69963,60085,
740,Suriname,lv2,24027,37630,33561,
740,Suriname,lv3,2378,2751,,
748,Swaziland,lv1,112019,139345,166454,192599
748,Swaziland,lv2,23665,31109,41128,52966
748,Swaziland,lv3,1875,2732,3198,2581
752,Sweden,lv1,666679,612704,578359,643768
752,Sweden,lv2,606833,,588474,791848
752,Sweden,lv3,171356,176589,192611,245932
756,Switzerland,lv1,450942,376512,404154,461805
756,Switzerland,lv2,661315,634750,567396,561716
756,Switzerland,lv3,85127,110111,137486,148154
760,Syrian Arab Republic,lv1,1555921,2029752,2452086,2651247
760,Syrian Arab Republic,lv2,604327,870383,914250,928882
760,Syrian Arab Republic,lv3,140180,179473,221628,215734
762,Tajikistan,lv1,,,507354,593526
762,Tajikistan,lv2,,45238,829479,724056
762,Tajikistan,lv3,96900,95247,109653,108203
764,Thailand,lv1,7392563,7150489,6956717,6291945
764,Thailand,lv2,1919967,2243373,2230403,3382755
764,Thailand,lv3,,1026952,,1184309
807,The former Yugoslav Republic of Macedonia,lv1,272344,273219,266813,261105
807,The former Yugoslav Republic of Macedonia,lv2,,,70690,77804
807,The former Yugoslav Republic of Macedonia,lv3,46281,38065,26515,29057
768,Togo,lv1,506788,462858,646962,762137
768,Togo,lv2,131961,97120,125545,153348
768,Togo,lv3,4750,5055,8969,11173
776,Tonga,lv1,19012,17019,16522,
776,Tonga,lv2,,15232,14749,
776,Tonga,lv3,,705,,
780,Trinidad and Tobago,lv1,167039,168308,193992,
780,Trinidad and Tobago,lv2,87700,95302,97493,
780,Trinidad and Tobago,lv3,5649,6582,7249,5231
788,Tunisia,lv1,1054027,1291490,1405665,1481759
788,Tunisia,lv2,293351,457630,564540,783169
788,Tunisia,lv3,31827,41594,68535,102682
792,Turkey,lv1,5656494,6635858,6861711,6466648
792,Turkey,lv2,2217909,2927692,3808142,4725551
792,Turkey,lv3,246183,469992,749921,1174299
795,Turkmenistan,lv3,69800,75800,76000,
796,Turks and Caicos Islands,lv1,1483,,,
796,Turks and Caicos Islands,lv2,691,,,
798,Tuvalu,lv1,1327,,1485,1906
798,Tuvalu,lv2,,,345,
800,Uganda,lv1,1292377,2117000,2401590,2789573
800,Uganda,lv2,86560,179185,267520,275590
800,Uganda,lv3,5856,10103,17578,27586
804,Ukraine,lv1,3591800,3738900,3990500,
804,Ukraine,lv2,3406400,3401100,3407500,
804,Ukraine,lv3,1683500,1662000,1651700,1533000
784,United Arab Emirates,lv1,88617,152125,228980,262628
784,United Arab Emirates,lv2,32362,62082,107881,159840
784,United Arab Emirates,lv3,2861,7772,10196,
826,United Kingdom,lv1,4910724,4296000,4532500,5208961
826,United Kingdom,lv2,5341849,4877000,4335600,6677836
826,United Kingdom,lv3,827146,1032491,1258188,1813280
834,United Republic of Tanzania,lv1,3367644,3169759,3379000,3796830
834,United Republic of Tanzania,lv2,78715,92945,167150,202498
834,United Republic of Tanzania,lv3,,4863,,10457
840,United States,lv1,20420000,20214000,22429000,23823662
840,United States,lv2,21585000,20633000,19270000,21122633
840,United States,lv3,12096895,12247055,13710150,14278799
850,United States Virgin Islands,lv1,12641,14948,14319,
850,United States Virgin Islands,lv2,11326,13548,10050,
850,United States Virgin Islands,lv3,2148,2602,2466,
858,Uruguay,lv1,331247,356002,346416,337889
858,Uruguay,lv2,148294,213774,265947,263180
858,Uruguay,lv3,36298,,71612,
860,Uzbekistan,lv1,1391000,1612000,1777900,1905693
860,Uzbekistan,lv2,2879300,3115000,3194600,3318900
860,Uzbekistan,lv3,515800,567200,602700,
548,Vanuatu,lv1,23264,22897,24471,
548,Vanuatu,lv2,2426,,293,
862,Venezuela,lv1,3158466,3539890,4052947,4249389
862,Venezuela,lv2,222267,268580,281419,
862,Venezuela,lv3,307133,443064,550030,
704,Viet Nam,lv1,7887439,8125836,8862292,10029000
704,Viet Nam,lv2,3867134,4243197,3371392,4656400
704,Viet Nam,lv3,114701,121159,129600,203300
894,Zambia,lv1,1041938,1348318,1461206,1507660
894,Zambia,lv2,102019,140743,189796,208640
894,Zambia,lv3,3425,4680,15343,10489
716,Zimbabwe,lv1,1235036,2214963,2116414,
716,Zimbabwe,lv2,74746,482000,661066,660986
716,Zimbabwe,lv3,8339,30843,49361,40998
